DAY,TIME,MV,TEMP,MAX
1/1/2021, 12:00:00 PM,15407.293,38.1,54.3
1/2/2021, 6:00:00 PM,14430.916,42.9,55.9
1/3/2021, 6:00:00 PM,15272.795,38,39.2
1/4/2021, 6:00:00 PM,16854.471,35.5,42.3
1/5/2021, 6:00:00 PM,17092.317,33,36.1
1/6/2021, 6:00:00 PM,17155.774,35.3,37
1/7/2021, 8:00:00 AM,17418.533,35.2,38.3
1/8/2021, 10:00:00 AM,17596.453,32.6,34.3
1/9/2021, 9:00:00 AM,16396.58,30.6,34.2
1/10/2021, 8:00:00 AM,16537.897,27.6,37.4
1/11/2021, 9:00:00 AM,18122.23,29.7,32.5
1/12/2021, 8:00:00 AM,18280.484,26.2,33.1
1/13/2021, 7:00:00 AM,18584.864,33.4,46.6
1/14/2021, 8:00:00 AM,17822.634,39.1,48.9
1/15/2021, 9:00:00 AM,17088.338,41.8,46.8
1/16/2021, 6:00:00 PM,16616.75,32.9,35.2
1/17/2021, 6:00:00 PM,16157.671,33.7,35.6
1/18/2021, 6:00:00 PM,18064.195,31.3,32.5
1/19/2021, 8:00:00 AM,18113.556,35.9,44.1
1/20/2021, 8:00:00 PM,17615.23,34.9,38.7
1/21/2021, 7:00:00 AM,17688.49,37.9,50
1/22/2021, 8:00:00 AM,17511.447,35.8,42.6
1/23/2021, 8:00:00 AM,17504.325,24.2,32
1/24/2021, 6:00:00 PM,16759.22,28.7,32
1/25/2021, 6:00:00 PM,17770.02,31.7,34.2
1/26/2021, 8:00:00 AM,16813.994,38.8,46.4
1/27/2021, 7:00:00 PM,17355.481,33.5,40.1
1/28/2021, 6:00:00 PM,18981.108,25.1,29.8
1/29/2021, 7:00:00 AM,19583.741,24.6,31.5
1/30/2021, 8:00:00 AM,18277.452,22.8,26.8
1/31/2021, 6:00:00 PM,16687.994,25.1,29.8
2/1/2021, 6:00:00 PM,18609.668,30.2,36.5
2/2/2021, 6:00:00 PM,18793.211,26.9,32.5
2/3/2021, 7:00:00 AM,19520.856,28.3,35.6
2/4/2021, 7:00:00 AM,19972.81,29,37.4
2/5/2021, 8:00:00 AM,17621.699,33.5,38.3
2/6/2021, 8:00:00 AM,17151.429,31.1,37.6
2/7/2021, 8:00:00 PM,17624.785,23.3,30.7
2/8/2021, 7:00:00 AM,19913.258,22.5,36.3
2/9/2021, 7:00:00 AM,18252.331,27.5,30.9
2/10/2021, 6:00:00 PM,18257.221,22.5,28
2/11/2021, 6:00:00 PM,18472.55,21.2,23.9
2/12/2021, 8:00:00 AM,18417.319,23.7,32
2/13/2021, 10:00:00 AM,17133.553,25.6,27.5
2/14/2021, 7:00:00 PM,17292.663,24.3,26.6
2/15/2021, 6:00:00 PM,19057.466,20.5,24.8
2/16/2021, 7:00:00 PM,19236.138,17.3,21.2
2/17/2021, 7:00:00 AM,19790.007,14.4,23.2
2/18/2021, 9:00:00 AM,18746.049,23.1,28.8
2/19/2021, 8:00:00 AM,18775.683,23.9,28
2/20/2021, 8:00:00 AM,18232.674,21.2,31.6
2/21/2021, 7:00:00 AM,18400.962,26.5,40.8
2/22/2021, 10:00:00 AM,17515.989,39.6,45.5
2/23/2021, 7:00:00 AM,17510.685,41.7,51.8
2/24/2021, 7:00:00 AM,16840.401,47.7,63.5
2/25/2021, 7:00:00 AM,16183.708,39.7,50
2/26/2021, 8:00:00 AM,16975.531,37.3,45.9
2/27/2021, 9:00:00 AM,14680.49,46.3,58.3
2/28/2021, 7:00:00 PM,13780.461,53.2,60.8
3/1/2021, 7:00:00 PM,16664.803,46.1,59.5
3/2/2021, 7:00:00 AM,18027.192,32.5,43.9
3/3/2021, 7:00:00 AM,17988.086,40.4,61.3
3/4/2021, 7:00:00 AM,16791.554,44.9,54.9
3/5/2021, 7:00:00 AM,17869.986,32.2,44.8
3/6/2021, 7:00:00 AM,16039.96,36,44.6
3/7/2021, 7:00:00 AM,15885.913,36,47.8
3/8/2021, 7:00:00 AM,18200.643,41.6,64.6
3/9/2021, 7:00:00 AM,16414.906,54.1,67.1
3/10/2021, 7:00:00 AM,15784.448,58.2,70.5
3/11/2021, 7:00:00 PM,14173.337,61.8,65.7
3/12/2021, 9:00:00 AM,14057.936,53.7,59.9
3/13/2021, 9:00:00 AM,13507.747,46.5,54.7
3/14/2021, 8:00:00 PM,13913.227,42.3,55
3/15/2021, 9:00:00 AM,16550.384,37.3,51.4
3/16/2021, 8:00:00 AM,15954.907,43.7,57
3/17/2021, 8:00:00 AM,15172.394,48.1,62.6
3/18/2021, 11:00:00 AM,15101.629,53,55.8
3/19/2021, 8:00:00 AM,16037.057,40.4,48.7
3/20/2021, 8:00:00 AM,15521.793,41.7,59.4
3/21/2021, 8:00:00 AM,14274.686,49.3,65.3
3/22/2021, 7:00:00 AM,15676.409,56.1,69.8
3/23/2021, 8:00:00 AM,14694.476,58.7,71.2
3/24/2021, 10:00:00 AM,13897.305,65.2,74.3
3/25/2021, 9:00:00 AM,13739.592,59.2,69.3
3/26/2021, 10:00:00 AM,13719.597,58.6,64.6
3/27/2021, 9:00:00 AM,12748.465,52.7,72.5
3/28/2021, 8:00:00 PM,13643.714,54.5,65.8
3/29/2021, 8:00:00 AM,16026.906,43.3,57.9
3/30/2021, 7:00:00 AM,15479.891,56.1,74.1
3/31/2021, 8:00:00 PM,14346.575,54.6,70
4/1/2021, 8:00:00 PM,16184.039,34.6,38.3
4/2/2021, 7:00:00 AM,16593.742,33.9,46.4
4/3/2021, 8:00:00 AM,15162.66,42.6,62.6
4/4/2021, 8:00:00 AM,12846.977,56.6,72
4/5/2021, 8:00:00 AM,14142.342,61,75.2
4/6/2021, 8:00:00 PM,14104.42,64.8,76.5
4/7/2021, 5:00:00 PM,14513.072,68.6,81.3
4/8/2021, 1:00:00 PM,14238.064,66.2,74.3
4/9/2021, 1:00:00 PM,13842.323,63.4,78.8
4/10/2021, 8:00:00 PM,12724.985,63.1,71.1
4/11/2021, 8:00:00 PM,12624.351,53.7,60.8
4/12/2021, 10:00:00 AM,14050.975,52.2,64.4
4/13/2021, 8:00:00 AM,14026.273,54.7,66
4/14/2021, 8:00:00 AM,13434.763,55,61.3
4/15/2021, 8:00:00 PM,14240.954,47.2,54.5
4/16/2021, 7:00:00 AM,14946.132,47.4,60.6
4/17/2021, 8:00:00 AM,13083.596,49.1,56.8
4/18/2021, 8:00:00 PM,12573.478,49.5,63
4/19/2021, 8:00:00 AM,14327.39,55.4,66.7
4/20/2021, 7:00:00 AM,14527.424,53.7,67.3
4/21/2021, 9:00:00 PM,15281.323,37.2,50.7
4/22/2021, 7:00:00 AM,16445.398,38.7,51.3
4/23/2021, 7:00:00 AM,16076.587,39.7,52.5
4/24/2021, 10:00:00 AM,13272.155,40.3,53.6
4/25/2021, 9:00:00 PM,12673.349,60.5,62.8
4/26/2021, 8:00:00 AM,14532.024,53.9,73.6
4/27/2021, 6:00:00 PM,14679.022,68.8,82
4/28/2021, 5:00:00 PM,15062.15,71.8,81
4/29/2021, 1:00:00 PM,14547.566,66.1,69.8
4/30/2021, 12:00:00 PM,13547.957,59,69.6
5/1/2021, 8:00:00 AM,12257.384,52.5,70.9
5/2/2021, 8:00:00 PM,13148.887,66.6,77.9
5/3/2021, 2:00:00 PM,14133.486,63.8,75
5/4/2021, 1:00:00 PM,14408.4,67.4,73.2
5/5/2021, 12:00:00 PM,13806.629,55.6,61.2
5/6/2021, 8:00:00 AM,14022.211,50.7,63.5
5/7/2021, 9:00:00 AM,13948.336,51.9,62.2
5/8/2021, 10:00:00 AM,12600.438,48.1,59.2
5/9/2021, 8:00:00 PM,12960.175,52.8,64.6
5/10/2021, 10:00:00 AM,14110.492,47.2,61
5/11/2021, 8:00:00 AM,14127.874,51,59.2
5/12/2021, 8:00:00 AM,13971.995,51,61.7
5/13/2021, 7:00:00 AM,14335.882,53.2,65.8
5/14/2021, 8:00:00 AM,13926.761,55,69.4
5/15/2021, 6:00:00 PM,12416.034,57,71.6
5/16/2021, 8:00:00 PM,12816.043,62,69.6
5/17/2021, 12:00:00 PM,14069.217,58.7,65.7
5/18/2021, 5:00:00 PM,15043.899,64.1,77.9
5/19/2021, 5:00:00 PM,16751.901,70.3,82.4
5/20/2021, 5:00:00 PM,17614.249,72.4,84.6
5/21/2021, 5:00:00 PM,18017.779,72.6,84
5/22/2021, 5:00:00 PM,16323.336,72,83.3
5/23/2021, 5:00:00 PM,17076.626,72.9,83.8
5/24/2021, 5:00:00 PM,18651.977,77.4,86.9
5/25/2021, 3:00:00 PM,19274.8,76.5,87.8
5/26/2021, 2:00:00 PM,17749.072,73.4,82
5/27/2021, 4:00:00 PM,17009.627,70.3,81.7
5/28/2021, 1:00:00 PM,14950.467,68.1,75.4
5/29/2021, 12:00:00 PM,12169.259,49.4,53.6
5/30/2021, 9:00:00 PM,11634.926,51.4,61.3
5/31/2021, 6:00:00 PM,12484.948,57.2,72.9
6/1/2021, 5:00:00 PM,15010.391,64.5,74.5
6/2/2021, 1:00:00 PM,14457.096,64.5,70.7
6/3/2021, 3:00:00 PM,15105.039,65.6,71.6
6/4/2021, 5:00:00 PM,17375.919,68.1,85.1
6/5/2021, 5:00:00 PM,17632.252,74.1,85.3
6/6/2021, 5:00:00 PM,17824.749,72.7,83.3
6/7/2021, 4:00:00 PM,18649.12,73.6,82.2
6/8/2021, 3:00:00 PM,19403.215,75.1,82.9
6/9/2021, 5:00:00 PM,17697.637,71.1,74.7
6/10/2021, 5:00:00 PM,18939.93,74.1,83.1
6/11/2021, 3:00:00 PM,18721.753,75.1,81.9
6/12/2021, 5:00:00 PM,18613.556,76.8,89.1
6/13/2021, 5:00:00 PM,18260.504,79.3,88.5
6/14/2021, 4:00:00 PM,19107.65,76.6,89.4
6/15/2021, 5:00:00 PM,16905.133,71.1,80.1
6/16/2021, 5:00:00 PM,16421.437,68.8,77.9
6/17/2021, 6:00:00 PM,17525.534,69.3,84.2
6/18/2021, 6:00:00 PM,17911.676,74.3,88.3
6/19/2021, 5:00:00 PM,17230.874,71.6,83.8
6/20/2021, 5:00:00 PM,18837.513,78.5,87.3
6/21/2021, 1:00:00 PM,19142.549,78.2,84.2
6/22/2021, 5:00:00 PM,14955.122,64.2,69.3
6/23/2021, 5:00:00 PM,15688.224,62,75.6
6/24/2021, 5:00:00 PM,17844.806,69.9,83.7
6/25/2021, 4:00:00 PM,17579.707,75.4,82.2
6/26/2021, 5:00:00 PM,18302.404,77.7,86
6/27/2021, 5:00:00 PM,19139.785,79.6,89.1
6/28/2021, 1:00:00 PM,20976.311,80.2,90.3
6/29/2021, 2:00:00 PM,21392.093,82.9,93.2
6/30/2021, 2:00:00 PM,19011.149,74.7,80.6
7/1/2021, 2:00:00 PM,17415.315,70.5,76.8
7/2/2021, 4:00:00 PM,15761.331,69.6,74.8
7/3/2021, 5:00:00 PM,14977.762,67.6,79
7/4/2021, 5:00:00 PM,17461.949,75.1,87.1
7/5/2021, 5:00:00 PM,20164.234,79.5,90
7/6/2021, 6:00:00 PM,20805.85,80.5,90.1
7/7/2021, 1:00:00 PM,20507.905,78.8,89.4
7/8/2021, 4:00:00 PM,18378.361,75.6,83.5
7/9/2021, 4:00:00 PM,17291.289,71.6,79.2
7/10/2021, 4:00:00 PM,15447.78,67,77
7/11/2021, 5:00:00 PM,16409.705,72.8,81.7
7/12/2021, 4:00:00 PM,19567.805,75.8,83.5
7/13/2021, 5:00:00 PM,18528.851,74.1,79.5
7/14/2021, 4:00:00 PM,19978.381,74.8,85.1
7/15/2021, 3:00:00 PM,20150.765,78.7,89.1
7/16/2021, 2:00:00 PM,19686.537,76.7,86.2
7/17/2021, 5:00:00 PM,16954.534,74.1,82
7/18/2021, 5:00:00 PM,17368.459,72.7,81.3
7/19/2021, 4:00:00 PM,19556.648,72.8,83.3
7/20/2021, 4:00:00 PM,19856.496,74.1,84.2
7/21/2021, 4:00:00 PM,18812.132,73.2,81.1
7/22/2021, 5:00:00 PM,18398.884,69.8,79.2
7/23/2021, 5:00:00 PM,18429.511,71.4,82.4
7/24/2021, 4:00:00 PM,19063.898,73.9,86.2
7/25/2021, 5:00:00 PM,19666.605,79.8,88.9
7/26/2021, 2:00:00 PM,20404.406,79,88.9
7/27/2021, 3:00:00 PM,20497.878,76.1,87.8
7/28/2021, 4:00:00 PM,21026.008,76.8,88.7
7/29/2021, 3:00:00 PM,20592.445,79.1,89.2
7/30/2021, 4:00:00 PM,19080.767,78.5,83.3
7/31/2021, 4:00:00 PM,16610.878,73.6,77.2
8/1/2021, 5:00:00 PM,16398.615,68.6,81.3
8/2/2021, 5:00:00 PM,17532.028,67.2,77.4
8/3/2021, 5:00:00 PM,17632.886,68.7,80.2
8/4/2021, 5:00:00 PM,18240.902,69.3,79.9
8/5/2021, 5:00:00 PM,19479.777,72.2,85.5
8/6/2021, 4:00:00 PM,19699.925,74.2,85.3
8/7/2021, 4:00:00 PM,17880.192,76.6,86.4
8/8/2021, 5:00:00 PM,19257.248,76.9,89.6
8/9/2021, 2:00:00 PM,20504.635,75.9,82.6
8/10/2021, 6:00:00 PM,20350.651,74.5,84.6
8/11/2021, 1:00:00 PM,20387.727,81.6,92.1
8/12/2021, 2:00:00 PM,21336.143,84.3,95
8/13/2021, 1:00:00 PM,20278.361,79.2,90.3
8/14/2021, 4:00:00 PM,18093.329,74.2,82.6
8/15/2021, 5:00:00 PM,16117.846,70.5,75.6
8/16/2021, 5:00:00 PM,17729.81,70.6,79.7
8/17/2021, 5:00:00 PM,17845.766,73.9,83.7
8/18/2021, 5:00:00 PM,19970.716,76.3,87.6
8/19/2021, 4:00:00 PM,19442.013,76.9,83.3
8/20/2021, 4:00:00 PM,20151.388,75.1,86.7
8/21/2021, 5:00:00 PM,19613.701,76,87.3
8/22/2021, 5:00:00 PM,20101.231,73.9,87.8
8/23/2021, 5:00:00 PM,21478.135,74.4,89.6
8/24/2021, 4:00:00 PM,21944.572,79.6,91.4
8/25/2021, 2:00:00 PM,20113.415,77.6,86
8/26/2021, 2:00:00 PM,20833.165,76.7,90.1
8/27/2021, 5:00:00 PM,21283.562,76.2,91.8
8/28/2021, 5:00:00 PM,20823.037,77.3,90.5
8/29/2021, 4:00:00 PM,19872.048,80.5,90.3
8/30/2021, 3:00:00 PM,20114.229,75.1,83.8
8/31/2021, 2:00:00 PM,17994.724,71.7,77
9/1/2021, 5:00:00 PM,16968.633,71.6,79.5
9/2/2021, 5:00:00 PM,16905.947,67.1,77.4
9/3/2021, 4:00:00 PM,16012.817,66.2,76.8
9/4/2021, 4:00:00 PM,15366.461,69.3,81.1
9/5/2021, 5:00:00 PM,15095.864,71.4,78.8
9/6/2021, 5:00:00 PM,16300.025,68.4,82.6
9/7/2021, 5:00:00 PM,18755.257,73.9,84.2
9/8/2021, 4:00:00 PM,17719.028,72.1,80.2
9/9/2021, 4:00:00 PM,16070.096,65.8,76.8
9/10/2021, 4:00:00 PM,15764.459,63.8,76.1
9/11/2021, 5:00:00 PM,15750.382,66.7,81.3
9/12/2021, 5:00:00 PM,17794.347,74.6,85.6
9/13/2021, 4:00:00 PM,20078.972,75.6,85.5
9/14/2021, 4:00:00 PM,20545.64,76.8,87.4
9/15/2021, 1:00:00 PM,16734.589,73.2,80.1
9/16/2021, 5:00:00 PM,17574.064,70.3,80.6
9/17/2021, 4:00:00 PM,19218.907,71.2,84.9
9/18/2021, 4:00:00 PM,18514.974,75.2,88.2
9/19/2021, 4:00:00 PM,18641.559,74.4,86
9/20/2021, 2:00:00 PM,17705.233,72,77.5
9/21/2021, 1:00:00 PM,15745.13,68.6,72.5
9/22/2021, 1:00:00 PM,14843.086,62.7,70.7
9/23/2021, 8:00:00 PM,13833.061,56.1,63.5
9/24/2021, 4:00:00 PM,13895.983,58.3,72.9
