DAY,TIME,MV,TEMP,MAX
1/1/2021, 5:00:00 PM,14031.281,47.2,57
1/2/2021, 6:00:00 PM,11875.176,50.2,61
1/3/2021, 6:00:00 PM,13197.197,51.3,61
1/4/2021, 7:00:00 AM,14355.365,44.6,54
1/5/2021, 6:00:00 PM,14215.54,38.2,48
1/6/2021, 6:00:00 PM,14642.012,40.7,48.9
1/7/2021, 7:00:00 AM,15977.362,36.1,48.9
1/8/2021, 8:00:00 AM,14779.069,39.1,48
1/9/2021, 8:00:00 AM,14500.142,38.8,50
1/10/2021, 7:00:00 AM,14074.602,37.3,51.1
1/11/2021, 7:00:00 AM,16265.968,36.3,51.1
1/12/2021, 7:00:00 AM,15441.932,44.1,54
1/13/2021, 7:00:00 AM,16363.414,39.5,55
1/14/2021, 7:00:00 AM,15208.28,44.6,55
1/15/2021, 7:00:00 AM,15208.5,42.3,59
1/16/2021, 6:00:00 PM,14096.849,42.8,59
1/17/2021, 7:00:00 AM,13945.326,39.3,50
1/18/2021, 6:00:00 PM,14416.785,39.9,50
1/19/2021, 7:00:00 AM,15689.391,38.9,55.9
1/20/2021, 7:00:00 PM,14236.136,46.2,55.9
1/21/2021, 7:00:00 AM,15490.592,40.4,54
1/22/2021, 7:00:00 AM,14312.691,46.9,59
1/23/2021, 8:00:00 PM,14962.921,38.4,59
1/24/2021, 7:00:00 AM,15680.336,32,48
1/25/2021, 5:00:00 PM,14754.667,41.5,45
1/26/2021, 9:00:00 AM,14831.087,44.4,48.9
1/27/2021, 6:00:00 PM,14157.832,48,52
1/28/2021, 8:00:00 AM,16566.244,35.9,52
1/29/2021, 7:00:00 AM,17867.391,30.5,39.9
1/30/2021, 7:00:00 AM,17276.918,29.4,39.9
1/31/2021, 6:00:00 PM,15781.871,35.4,43
2/1/2021, 6:00:00 PM,16852.733,34.8,43
2/2/2021, 8:00:00 AM,16190.608,37.4,46.9
2/3/2021, 7:00:00 AM,16056.815,38.3,51.1
2/4/2021, 7:00:00 AM,16897.188,39.2,52
2/5/2021, 8:00:00 AM,13961.669,44.4,48
2/6/2021, 7:00:00 AM,13624.881,44.1,55
2/7/2021, 6:00:00 PM,14360.324,40.7,55
2/8/2021, 7:00:00 AM,16738.618,36.9,52
2/9/2021, 7:00:00 AM,15018.582,44.8,61
2/10/2021, 6:00:00 PM,14646.156,45.6,61
2/11/2021, 6:00:00 PM,15900.296,45.1,48
2/12/2021, 6:00:00 PM,16552.337,35.8,41
2/13/2021, 10:00:00 AM,15698.462,34.1,36
2/14/2021, 6:00:00 PM,15269.264,35.2,37.4
2/15/2021, 6:00:00 PM,15214.281,37.9,42.8
2/16/2021, 7:00:00 PM,13694.022,53.8,63
2/17/2021, 7:00:00 AM,16539.926,39.4,63
2/18/2021, 9:00:00 AM,16663.878,35.4,46.9
2/19/2021, 9:00:00 AM,16459.392,35.4,39.9
2/20/2021, 7:00:00 AM,15922.819,35.5,43
2/21/2021, 7:00:00 AM,16765.005,32.6,43
2/22/2021, 8:00:00 AM,16043.989,41,63
2/23/2021, 7:00:00 AM,15433.799,47.5,64
2/24/2021, 7:00:00 AM,14616.543,51.7,71.1
2/25/2021, 7:00:00 PM,12305.803,55.4,71.1
2/26/2021, 7:00:00 AM,13802.725,46.4,66.9
2/27/2021, 9:00:00 AM,12669.866,50.4,64.9
2/28/2021, 6:00:00 PM,12188.262,59.1,79
3/1/2021, 7:00:00 PM,12869.704,64.9,79
3/2/2021, 7:00:00 AM,14561.193,47,70
3/3/2021, 7:00:00 AM,15430.32,46,61
3/4/2021, 7:00:00 AM,13727.58,49.5,66.9
3/5/2021, 7:00:00 AM,15127.622,44.2,66.9
3/6/2021, 7:00:00 AM,14064.12,41.6,55
3/7/2021, 6:00:00 AM,14154.929,40.5,55
3/8/2021, 6:00:00 AM,16130.946,39.8,59
3/9/2021, 6:00:00 AM,14059.001,47.4,71.1
3/10/2021, 7:00:00 AM,12363.96,55.2,73.9
3/11/2021, 7:00:00 PM,11385.346,59.1,75
3/12/2021, 6:00:00 PM,10984.418,65.1,80.1
3/13/2021, 7:00:00 PM,11148.058,63.5,80.1
3/14/2021, 8:00:00 AM,11406.613,55,68
3/15/2021, 8:00:00 AM,13431.093,50.1,68
3/16/2021, 8:00:00 AM,13855.933,42,55
3/17/2021, 8:00:00 AM,12991.429,46.9,54
3/18/2021, 9:00:00 AM,12321.08,59.9,77
3/19/2021, 9:00:00 AM,13508.259,51.8,77
3/20/2021, 7:00:00 AM,13660.84,42,63
3/21/2021, 7:00:00 AM,12784.641,50.9,66
3/22/2021, 7:00:00 AM,13297.514,55,69.1
3/23/2021, 8:00:00 AM,12025.108,56.6,69.1
3/24/2021, 9:00:00 AM,11211.573,59.1,68
3/25/2021, 8:00:00 PM,11251.332,62.6,77
3/26/2021, 6:00:00 PM,11913.924,71.9,78.1
3/27/2021, 7:00:00 PM,10483.861,67,79
3/28/2021, 7:00:00 PM,11103.476,67.3,82.9
3/29/2021, 7:00:00 AM,11306.47,56.4,82.9
3/30/2021, 7:00:00 AM,12167.466,55.3,75
3/31/2021, 7:00:00 PM,11378.296,65.7,78.1
4/1/2021, 8:00:00 PM,12787.275,55.3,79
4/2/2021, 7:00:00 AM,14457.488,40.9,48
4/3/2021, 7:00:00 AM,13771.206,41.5,57.9
4/4/2021, 7:00:00 AM,11427.167,53,75
4/5/2021, 8:00:00 PM,11130.353,58.6,75
4/6/2021, 8:00:00 PM,11452.165,65.2,82.9
4/7/2021, 7:00:00 PM,11879.941,66.9,87.1
