DAY,TIME,MV,MAX,MIN
1/1/2021, 5:00:00 PM,5408.128,37.4,26.6
1/2/2021, 6:00:00 PM,4991.009,48.2,32
1/3/2021, 5:00:00 PM,5471.692,41,32
1/4/2021, 5:00:00 PM,5552.426,41,33.8
1/5/2021, 5:00:00 PM,5657.349,39.2,33.8
1/6/2021, 5:00:00 PM,5808.261,39.2,35.6
1/7/2021, 6:00:00 PM,5737.871,41,30.2
1/8/2021, 8:00:00 AM,5976.252,35.6,24.8
1/9/2021, 8:00:00 AM,5493.497,42.8,24.8
1/10/2021, 7:00:00 PM,5234.959,42.8,30.2
1/11/2021, 10:00:00 AM,6023.516,37.4,23
1/12/2021, 7:00:00 AM,6104.715,39.2,23
1/13/2021, 9:00:00 AM,5698.105,44.6,24.8
1/14/2021, 8:00:00 AM,5561.632,48.2,28.4
1/15/2021, 9:00:00 AM,5429.994,48.2,32
1/16/2021, 6:00:00 PM,5017.946,48.2,33.8
1/17/2021, 6:00:00 PM,5111.32,42.8,32
1/18/2021, 6:00:00 PM,5583.623,42.8,33.8
1/19/2021, 8:00:00 AM,5631.052,42.8,30.2
1/20/2021, 5:00:00 PM,5890.41,39.2,26.6
1/21/2021, 7:00:00 AM,6168.727,46.4,21.2
1/22/2021, 8:00:00 AM,5472.138,42.8,32
1/23/2021, 6:00:00 PM,5817.022,35.6,24.8
1/24/2021, 6:00:00 PM,5613.491,32,21.2
1/25/2021, 9:00:00 AM,6027.883,33.8,28.4
1/26/2021, 11:00:00 AM,5984.757,33.8,30.2
1/27/2021, 6:00:00 PM,5905.002,35.6,32
1/28/2021, 6:00:00 PM,6341.043,32,23
1/29/2021, 7:00:00 AM,6527.983,26.6,19.4
1/30/2021, 8:00:00 AM,5837.218,32,15.8
1/31/2021, 5:00:00 PM,6038.795,28.4,23
2/1/2021, 10:00:00 AM,5938.427,32,21.2
2/2/2021, 6:00:00 PM,5905.41,35.6,28.4
2/3/2021, 6:00:00 PM,5965.945,33.8,26.6
2/4/2021, 8:00:00 AM,5986.467,39.2,24.8
2/5/2021, 8:00:00 AM,5579.845,46.4,30.2
2/6/2021, 6:00:00 PM,5238.813,41,30.2
2/7/2021, 6:00:00 PM,5493.977,37.4,30.2
2/8/2021, 7:00:00 AM,6451.581,30.2,15.8
2/9/2021, 9:00:00 AM,6238.025,37.4,19.4
2/10/2021, 7:00:00 AM,6203.836,32,23
2/11/2021, 6:00:00 PM,6117.021,30.2,26.6
2/12/2021, 8:00:00 AM,6378.036,28.4,19.4
2/13/2021, 6:00:00 PM,5898.395,26.6,24.8
2/14/2021, 9:00:00 AM,5486.181,33.8,23
2/15/2021, 6:00:00 PM,5934.077,33.8,30.2
2/16/2021, 6:00:00 PM,5766.566,42.8,32
2/17/2021, 8:00:00 AM,6299.835,32,19.4
2/18/2021, 9:00:00 AM,6258.507,26.6,21.2
2/19/2021, 9:00:00 AM,6053.084,30.2,24.8
2/20/2021, 7:00:00 PM,5712.576,30.2,21.2
2/21/2021, 7:00:00 PM,5483.197,32,14
2/22/2021, 11:00:00 AM,6171.113,33.8,26.6
2/23/2021, 8:00:00 AM,5760.707,46.4,30.2
2/24/2021, 8:00:00 AM,5559.159,51.8,33.8
2/25/2021, 7:00:00 AM,5205.365,48.2,37.4
2/26/2021, 7:00:00 AM,5506.863,44.6,30.2
2/27/2021, 10:00:00 AM,5128.316,42.8,32
2/28/2021, 6:00:00 PM,5111.506,44.6,37.4
3/1/2021, 7:00:00 PM,5533.684,44.6,37.4
3/2/2021, 7:00:00 AM,6204.536,37.4,21.2
3/3/2021, 7:00:00 AM,5841.122,51.8,26.6
3/4/2021, 7:00:00 PM,5600.353,46.4,33.8
3/5/2021, 7:00:00 AM,6157.374,35.6,21.2
3/6/2021, 6:00:00 PM,5462.384,35.6,26.6
3/7/2021, 7:00:00 PM,5145.196,39.2,23
3/8/2021, 7:00:00 AM,6044.192,44.6,19.4
3/9/2021, 7:00:00 AM,5284.37,66.2,35.6
3/10/2021, 7:00:00 AM,5194.966,62.6,39.2
3/11/2021, 7:00:00 AM,4831.201,71.6,39.2
3/12/2021, 9:00:00 AM,4444.903,66.2,55.4
3/13/2021, 9:00:00 AM,4501.273,57.2,33.8
3/14/2021, 8:00:00 PM,4691.531,55.4,37.4
3/15/2021, 8:00:00 AM,5868.916,42.8,23
3/16/2021, 10:00:00 AM,5674.94,37.4,30.2
3/17/2021, 9:00:00 AM,5427.581,46.4,33.8
3/18/2021, 11:00:00 AM,5164.8,46.4,42.8
3/19/2021, 8:00:00 AM,5439.188,44.6,32
3/20/2021, 8:00:00 AM,5023.721,55.4,30.2
3/21/2021, 8:00:00 AM,4548.606,62.6,35.6
3/22/2021, 7:00:00 AM,5176.029,60.8,32
3/23/2021, 7:00:00 AM,5048.951,66.2,39.2
3/24/2021, 10:00:00 AM,4808.918,59,48.2
3/25/2021, 9:00:00 AM,4595.442,59,53.6
3/26/2021, 10:00:00 AM,4381.585,78.8,57.2
3/27/2021, 10:00:00 AM,3884.819,66.2,44.6
3/28/2021, 7:00:00 PM,4105.614,62.6,51.8
3/19/2021, 12:00:00 PM,5040.308,53.6,39.2
3/30/2021, 7:00:00 AM,5139.92,64.4,33.8
3/31/2021, 11:00:00 AM,4608.01,62.6,46.4
4/1/2021, 8:00:00 PM,4925.454,59,37.4
4/2/2021, 9:00:00 AM,5150.402,41,26.6
4/3/2021, 7:00:00 AM,4737.088,50,23
4/4/2021, 8:00:00 AM,4015.24,66.2,41
4/5/2021, 7:00:00 AM,4415.456,66.2,41
4/6/2021, 8:00:00 AM,4484.17,68,44.6
4/7/2021, 9:00:00 AM,4436.234,69.8,50
4/8/2021, 8:00:00 AM,4333.221,66.2,44.6
4/9/2021, 11:00:00 AM,4347.817,57.2,48.2
4/10/2021, 10:00:00 AM,3939.001,66.2,50
4/11/2021, 8:00:00 PM,3943.847,68,57.2
4/12/2021, 12:00:00 PM,4585.369,60.8,46.4
4/13/2021, 9:00:00 AM,4547.834,62.6,44.6
4/14/2021, 10:00:00 AM,4393.164,62.6,44.6
4/15/2021, 10:00:00 AM,4466.257,62.6,50
4/16/2021, 8:00:00 AM,4686.097,55.4,37.4
4/17/2021, 9:00:00 AM,4199.709,55.4,39.2
4/18/2021, 8:00:00 PM,3966.675,62.6,42.8
4/19/2021, 8:00:00 AM,4551.902,60.8,41
4/20/2021, 8:00:00 AM,4517.041,71.6,46.4
4/21/2021, 8:00:00 PM,4697.265,66.2,41
4/22/2021, 7:00:00 AM,5148.478,46.4,30.2
4/23/2021, 7:00:00 AM,5000.619,60.8,33.8
4/24/2021, 8:00:00 AM,3959.182,64.4,44.6
4/25/2021, 8:00:00 PM,3925.447,62.6,46.4
4/26/2021, 8:00:00 AM,4702.881,59,39.2
4/27/2021, 8:00:00 AM,4516.748,75.2,41
4/28/2021, 4:00:00 PM,4604.65,84.2,59
4/29/2021, 12:00:00 PM,4666.077,78.8,64.4
