DAY,TIME,MV,MAX,MIN
1/1/2021, 5:00:00 PM,5187.728,44.1,21
1/2/2021, 6:00:00 PM,4994.152,51.1,21
1/3/2021, 5:00:00 PM,5327.974,36,28
1/4/2021, 5:00:00 PM,5593.048,44.1,28
1/5/2021, 5:00:00 PM,5634.96,44.1,35.1
1/6/2021, 5:00:00 PM,5681.502,42.1,28
1/7/2021, 6:00:00 PM,5608.51,44.1,28
1/8/2021, 5:00:00 PM,5678.541,44.1,19.9
1/9/2021, 6:00:00 PM,5295.954,39.9,19.9
1/10/2021, 6:00:00 PM,5161.102,45,21.9
1/11/2021, 5:00:00 PM,5763.079,45,17.1
1/12/2021, 6:00:00 PM,5555.396,46,16
1/13/2021, 5:00:00 PM,5576.796,46,16
1/14/2021, 5:00:00 PM,5343.05,52,24.1
1/15/2021, 5:00:00 PM,5372.315,52,25
1/16/2021, 6:00:00 PM,4969.542,46.9,25
1/17/2021, 6:00:00 PM,4987.411,46.9,30
1/18/2021, 6:00:00 PM,5339.076,46,25
1/19/2021, 6:00:00 PM,5544.966,46,25
1/20/2021, 6:00:00 PM,5743.829,42.1,21
1/21/2021, 6:00:00 PM,5574.532,43,15.1
1/22/2021, 6:00:00 PM,5413.783,45,15.1
1/23/2021, 6:00:00 PM,5468.282,45,21
1/24/2021, 6:00:00 PM,5444.82,36,21.9
1/25/2021, 5:00:00 PM,5729.087,39,19.9
1/26/2021, 5:00:00 PM,5850.773,39,19.9
1/27/2021, 5:00:00 PM,5741.871,37.9,30.9
1/28/2021, 6:00:00 PM,6021.456,37.9,25
1/29/2021, 6:00:00 PM,6202.785,33.1,17.1
1/30/2021, 6:00:00 PM,5554.296,35.1,16
1/31/2021, 6:00:00 PM,5816.411,35.1,12.9
2/1/2021, 6:00:00 PM,5716.882,32,12.9
2/2/2021, 6:00:00 PM,5664.02,35.1,21.9
2/3/2021, 6:00:00 PM,5858.74,37.9,28
2/4/2021, 6:00:00 PM,5593.028,44.1,25
2/5/2021, 9:00:00 AM,5404.434,48.9,24.1
2/6/2021, 6:00:00 PM,5162.899,48.9,15.1
2/7/2021, 6:00:00 PM,5412.299,45,15.1
2/8/2021, 6:00:00 PM,5936.348,34,7
2/9/2021, 6:00:00 PM,5905.292,35.1,7
2/10/2021, 6:00:00 PM,5808.225,35.1,9
2/11/2021, 6:00:00 PM,5876.839,33.1,25
2/12/2021, 6:00:00 PM,5900.433,30,16
2/13/2021, 6:00:00 PM,5623.202,28.9,25
2/14/2021, 6:00:00 PM,5243.178,39,25
2/15/2021, 6:00:00 PM,5675.895,39,26.1
2/16/2021, 6:00:00 PM,5477.74,50,32
2/17/2021, 6:00:00 PM,5788.779,50,21
2/18/2021, 6:00:00 PM,5888.738,34,21
